Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
NOP,33,49,147,1544951,Cheick Diallo,22,PF,64,1,896,517.0706,693.2344,0.1601,0.6218,0.4319,6.0469,168,271,0.6199,1,4,0.25,167,267,0.6255,50,67,0.7463,75,257,332,33,29,33,49,113,387,0.2472,7563,19755,1921,82,1215,0.6735,0.1875,0.3025,7e-4,0.0011,0.0045,3e-4,0.1864,0.298,7e-4,0.0558,0.0748,8e-4,0.0837,0.2868,0.3705,0.0368,0.0324,0.0368,0.0547,0.1261,3e-4,645,6.0947,nonTOT
NOP,33,49,449,8641000,Julius Randle,24,PF,73,49,2232,695.8854,1873.1507,0.278,0.5551,0.7012,21.4384,571,1089,0.5243,67,195,0.3436,504,894,0.5638,356,487,0.731,162,472,634,229,52,45,208,246,1565,0.4472,7563,19755,1921,82,1215,1.101,0.2558,0.4879,2e-4,0.03,0.0874,2e-4,0.2258,0.4005,3e-4,0.1595,0.2182,3e-4,0.0726,0.2115,0.2841,0.1026,0.0233,0.0202,0.0932,0.1102,2e-4,1668,12.4288,nonTOT
CHO,39,43,304,13000000,Michael Kidd-Gilchrist,25,PF,64,3,1179,433.591,602.3281,0.157,0.5,0.3622,6.6719,158,332,0.4759,16,47,0.3404,142,285,0.4982,95,123,0.7724,88,158,246,61,32,39,43,156,427,0.3705,7362,19830,1895,82,1001,1.4186,0.134,0.2816,4e-4,0.0136,0.0399,3e-4,0.1204,0.2417,4e-4,0.0806,0.1043,7e-4,0.0746,0.134,0.2087,0.0517,0.0271,0.0331,0.0365,0.1323,3e-4,560,5.4818,nonTOT
CHO,39,43,554,14087500,Marvin Williams,32,PF,75,75,2133,315.1657,989.3733,0.149,0.5291,0.3544,10.08,275,652,0.4218,140,382,0.3665,135,270,0.5,66,86,0.7674,76,331,407,92,71,61,47,156,756,0.1319,7362,19830,1895,82,1001,1.9574,0.1289,0.3057,2e-4,0.0656,0.1791,2e-4,0.0633,0.1266,2e-4,0.0309,0.0403,4e-4,0.0356,0.1552,0.1908,0.0431,0.0333,0.0286,0.022,0.0731,1e-4,943,8.1033,nonTOT
LAL,37,45,44,3500000,Michael Beasley,30,PF,26,2,277,144.7008,194.9615,0.2949,0.5,0.6534,6.9615,75,153,0.4902,3,17,0.1765,72,136,0.5294,28,39,0.7179,13,47,60,25,9,10,27,42,181,0.2549,7425,19780,1910,82,1284,0.9259,0.2708,0.5523,0.0018,0.0108,0.0614,6e-4,0.2599,0.491,0.0019,0.1011,0.1408,0.0026,0.0469,0.1697,0.2166,0.0903,0.0325,0.0361,0.0975,0.1516,9e-4,169,2.232,nonTOT
LAL,37,45,314,1689840,Kyle Kuzma,23,PF,70,68,2314,647.3066,1280.1,0.2381,0.5152,0.5653,18.6857,496,1087,0.4563,128,422,0.3033,368,665,0.5534,188,250,0.752,60,322,382,178,41,26,133,170,1308,0.23,7425,19780,1910,82,1284,1.3383,0.2143,0.4697,2e-4,0.0553,0.1824,1e-4,0.159,0.2874,2e-4,0.0812,0.108,3e-4,0.0259,0.1392,0.1651,0.0769,0.0177,0.0112,0.0575,0.0735,1e-4,1149,9.3977,nonTOT
MEM,33,49,274,5922720,Jaren Jackson,19,PF,58,56,1515,613.9846,929.3103,0.2282,0.5492,0.5267,13.7586,298,589,0.5059,51,142,0.3592,247,447,0.5526,151,197,0.7665,73,199,272,64,52,82,98,220,798,0.3345,6924,19880,1882,82,1147,0.6531,0.1967,0.3888,3e-4,0.0337,0.0937,2e-4,0.163,0.295,4e-4,0.0997,0.13,5e-4,0.0482,0.1314,0.1795,0.0422,0.0343,0.0541,0.0647,0.1452,2e-4,833,7.3835,nonTOT
MEM,33,49,448,1378242,Ivan Rabb,21,PF,49,13,721,421.506,458.2857,0.1719,0.5542,0.3939,5.7959,116,212,0.5472,3,15,0.2,113,197,0.5736,49,69,0.7101,70,136,206,54,17,14,35,90,284,0.3255,6924,19880,1882,82,1147,1.5429,0.1609,0.294,8e-4,0.0042,0.0208,3e-4,0.1567,0.2732,8e-4,0.068,0.0957,0.001,0.0971,0.1886,0.2857,0.0749,0.0236,0.0194,0.0485,0.1248,5e-4,424,4.4494,nonTOT
WAS,32,50,217,2393887,Jeff Green,32,PF,77,44,2097,322.1726,1088.6883,0.1776,0.5553,0.4511,12.2857,326,687,0.4745,111,320,0.3469,215,367,0.5858,183,206,0.8883,57,252,309,137,43,39,101,160,946,0.2999,7387,19930,1963,82,1154,1.3564,0.1555,0.3276,2e-4,0.0529,0.1526,2e-4,0.1025,0.175,3e-4,0.0873,0.0982,4e-4,0.0272,0.1202,0.1474,0.0653,0.0205,0.0186,0.0482,0.0763,1e-4,989,8.398,nonTOT
WAS,32,50,550,247827,Okaro White,26,PF,3,0,6,0,0,0.1413,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,7387,19930,1963,82,1154,0,0,0.3333,0,0,0.3333,0,0,0,0,0,0,0,0.1667,0.1667,0.3333,0,0,0,0,0,0,0,0,nonTOT
