player_id,salary,player_name,Age,Pos,Tm,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,PTS_per_MP,FTF_MP,Creds,ApproxV
184,1832107,Tim Frazier,28,"PG, PG","MIL, NOP",59,19,1120,353.6685,601.7119,0.2974,0.5153,116,261,0.4444,37,101,0.3663,79,160,0.4938,41,54,0.7593,41,127,168,248,30,5,76,112,310,0.2069,5.2542,7471,19780,1904,82,1137,3.2632,0.1036,0.233,4e-4,0.033,0.0902,3e-4,0.0705,0.1429,4e-4,0.0366,0.0482,7e-4,0.0366,0.1134,0.15,0.2214,0.0268,0.0045,0.0679,0.1,0.2768,2e-4,527,5.2377
195,17133285,Pau Gasol,38,"C, C","MIL, SAS",30,6,360,-21.0905,262.4667,0.2824,0.4787,42,94,0.4468,6,13,0.4615,36,81,0.4444,28,40,0.7,22,115,137,52,5,15,16,29,118,0.4255,3.9333,7471,19780,1904,82,1137,3.25,0.1167,0.2611,0.0012,0.0167,0.0361,0.0013,0.1,0.225,0.0012,0.0778,0.1111,0.0019,0.0611,0.3194,0.3806,0.1444,0.0139,0.0417,0.0444,0.0806,0.3278,0.0012,247,2.9669
238,10577466,John Henson,28,C,MIL,14,0,188,144.2414,141.1429,0.1858,0.5448,31,67,0.4627,11,31,0.3548,20,36,0.5556,6,10,0.6,16,55,71,14,7,11,12,16,79,0.1493,5.6429,7471,19780,1904,82,1137,1.1667,0.1649,0.3564,0.0025,0.0585,0.1649,0.0019,0.1064,0.1915,0.003,0.0319,0.0532,0.0032,0.0851,0.2926,0.3777,0.0745,0.0372,0.0585,0.0638,0.0851,0.4202,8e-4,130,1.8333
246,19000000,George Hill,32,"PG, PG","MIL, CLE",60,13,1302,232.2341,579.15,0.3163,0.516,170,376,0.4521,48,153,0.3137,122,223,0.5471,70,85,0.8235,39,109,148,135,52,8,51,102,458,0.2261,7.6333,7471,19780,1904,82,1137,2.6471,0.1306,0.2888,3e-4,0.0369,0.1175,2e-4,0.0937,0.1713,4e-4,0.0538,0.0653,6e-4,0.03,0.0837,0.1137,0.1037,0.0399,0.0061,0.0392,0.0783,0.3518,2e-4,529,5.2526
265,7000000,Ersan Ilyasova,31,PF,MIL,67,7,1231,282.101,631.2836,0.157,0.5144,167,381,0.4383,58,160,0.3625,109,221,0.4932,61,74,0.8243,94,208,302,52,32,20,48,172,453,0.1942,6.7612,7471,19780,1904,82,1137,1.0833,0.1357,0.3095,4e-4,0.0471,0.13,3e-4,0.0885,0.1795,4e-4,0.0496,0.0601,7e-4,0.0764,0.169,0.2453,0.0422,0.026,0.0162,0.039,0.1397,0.368,2e-4,584,5.6571
335,3382000,Brook Lopez,30,C,MIL,81,81,2322,446.3392,1279.9877,0.1671,0.5706,355,786,0.4517,187,512,0.3652,168,274,0.6131,112,133,0.8421,33,363,396,98,51,179,82,189,1009,0.1692,12.4568,7471,19780,1904,82,1137,1.1951,0.1529,0.3385,2e-4,0.0805,0.2205,2e-4,0.0724,0.118,3e-4,0.0482,0.0573,4e-4,0.0142,0.1563,0.1705,0.0422,0.022,0.0771,0.0353,0.0814,0.4345,1e-4,1199,9.7028
348,2799720,Thon Maker,21,"C, PF","MIL, DET",64,5,972,420.3589,454.4844,0.3,0.4981,109,268,0.4067,49,153,0.3203,60,115,0.5217,56,84,0.6667,41,161,202,45,21,51,33,105,323,0.3134,5.0469,7471,19780,1904,82,1137,1.3636,0.1121,0.2757,4e-4,0.0504,0.1574,3e-4,0.0617,0.1183,5e-4,0.0576,0.0864,7e-4,0.0422,0.1656,0.2078,0.0463,0.0216,0.0525,0.034,0.108,0.3323,3e-4,422,4.4337
370,13000000,Khris Middleton,27,SF,MIL,77,77,2393,592.594,1599.7403,0.2512,0.5187,506,1148,0.4408,179,474,0.3776,327,674,0.4852,216,258,0.8372,50,411,461,331,80,7,174,172,1407,0.2247,18.2727,7471,19780,1904,82,1137,1.9023,0.2115,0.4797,2e-4,0.0748,0.1981,2e-4,0.1366,0.2817,2e-4,0.0903,0.10780000000000001,3e-4,0.0209,0.1718,0.1926,0.1383,0.0334,0.0029,0.0727,0.0719,0.588,1e-4,1428,11.0618
377,12500000,Nikola Mirotic,27,"PF, PF","MIL, NOP",46,25,1245,466.3211,831.9565,0.4211,0.5461,238,542,0.4391,116,318,0.3648,122,224,0.5446,105,124,0.8468,60,279,339,55,31,34,48,107,697,0.2288,15.1522,7471,19780,1904,82,1137,1.1458,0.1912,0.4353,4e-4,0.0932,0.2554,3e-4,0.098,0.1799,4e-4,0.0843,0.0996,7e-4,0.0482,0.2241,0.2723,0.0442,0.0249,0.0273,0.0386,0.0859,0.5598,2e-4,785,7.0621
387,77250,Jaylen Morris,23,SG,MIL,4,0,29,35.6376,13.75,0.1716,0.45,4,10,0.4,1,3,0.3333,3,7,0.4286,1,2,0.5,0,5,5,4,2,0,1,1,10,0.2,2.5,7471,19780,1904,82,1137,4,0.1379,0.3448,0.0138,0.0345,0.1034,0.0115,0.1034,0.2414,0.0148,0.0345,0.069,0.0172,0,0.1724,0.1724,0.1379,0.069,0,0.0345,0.0345,0.3448,0.0069,13,0.326
