Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
WAS,32,50,462,77250,Devin Robinson,23,SF,7,0,95,112.5234,64.7143,0.1792,0.5938,0.4947,6.7143,19,32,0.5938,0,2,0,19,30,0.6333,9,14,0.6429,6,14,20,6,4,6,2,11,47,0.4375,7387,19930,1963,82,1154,3,0.2,0.3368,0.0063,0,0.0211,0,0.2,0.3158,0.0067,0.0947,0.1474,0.0068,0.0632,0.1474,0.2105,0.0632,0.0421,0.0632,0.0211,0.1158,0.0046,63,1.0648,nonTOT
ATL,29,53,18,2516047,Justin Anderson,25,SF,48,4,463,226.8313,217.5208,0.1716,0.4841,0.3844,3.7083,64,157,0.4076,24,77,0.3117,40,80,0.5,26,35,0.7429,24,60,84,23,22,13,23,48,178,0.2229,7524,19855,1918,82,1397,1,0.1382,0.3391,9e-4,0.0518,0.1663,7e-4,0.0864,0.1728,0.0011,0.0562,0.0756,0.0016,0.0518,0.1296,0.1814,0.0497,0.0475,0.0281,0.0497,0.1037,5e-4,195,2.4849,nonTOT
ATL,29,53,446,2526840,Taurean Prince,24,SF,55,47,1552,499.0125,776.1818,0.1952,0.5446,0.4781,13.4909,262,594,0.4411,123,315,0.3905,139,279,0.4982,95,116,0.819,22,177,199,118,53,19,100,141,742,0.1953,7524,19855,1918,82,1397,1.18,0.1688,0.3827,3e-4,0.0793,0.203,3e-4,0.0896,0.1798,3e-4,0.0612,0.0747,5e-4,0.0142,0.114,0.1282,0.076,0.0341,0.0122,0.0644,0.0909,1e-4,678,6.3271,nonTOT
CHI,22,60,262,1991520,Chandler Hutchison,22,SF,44,14,895,350.3302,348.4318,0.1224,0.4928,0.2559,5.2045,96,209,0.4593,14,50,0.28,82,159,0.5157,23,38,0.6053,31,154,185,34,23,6,25,59,229,0.1818,7205,19905,1695,82,1159,1.36,0.1073,0.2335,5e-4,0.0156,0.0559,3e-4,0.0916,0.1777,6e-4,0.0257,0.0425,7e-4,0.0346,0.1721,0.2067,0.038,0.0257,0.0067,0.0279,0.0659,2e-4,324,3.6365,nonTOT
CHI,22,60,471,85457,JaKarr Sampson,25,SF,4,0,127,133.5066,93,0.2314,0.5833,0.6299,20,29,54,0.537,5,14,0.3571,24,40,0.6,17,21,0.8095,5,27,32,4,4,3,4,8,80,0.3889,7205,19905,1695,82,1159,1,0.2283,0.4252,0.0042,0.0394,0.1102,0.0028,0.189,0.315,0.0047,0.1339,0.1654,0.0064,0.0394,0.2126,0.252,0.0315,0.0315,0.0236,0.0315,0.063,0.0031,90,1.3914,nonTOT
PHO,19,63,73,3557400,Mikal Bridges,22,SF,82,56,2417,596.468,943.1463,0.1217,0.5231,0.283,8.3415,242,563,0.4298,105,313,0.3355,137,250,0.548,95,118,0.8051,56,208,264,173,129,38,70,201,684,0.2096,7164,19880,1858,82,1279,2.4714,0.1001,0.2329,2e-4,0.0434,0.1295,1e-4,0.0567,0.1034,2e-4,0.0393,0.0488,3e-4,0.0232,0.0861,0.1092,0.0716,0.0534,0.0157,0.029,0.0832,1e-4,874,7.6545,nonTOT
PHO,19,63,305,77250,George King,25,SF,1,0,6,4.8496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7164,19880,1858,82,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,1,0.0476,nonTOT
PHO,19,63,544,11750000,TJ Warren,25,SF,43,36,1360,487.8713,751.7907,0.2265,0.5491,0.5676,17.9535,297,611,0.4861,77,180,0.4278,220,431,0.5104,101,124,0.8145,31,143,174,64,51,29,52,119,772,0.2029,7164,19880,1858,82,1279,1.2308,0.2184,0.4493,4e-4,0.0566,0.1324,3e-4,0.1618,0.3169,4e-4,0.0743,0.0912,6e-4,0.0228,0.1051,0.1279,0.0471,0.0375,0.0213,0.0382,0.0875,1e-4,701,6.4874,nonTOT
NYK,17,65,241,6500000,Mario Hezonja,23,SF,58,24,1206,446.1298,601.4828,0.2135,0.4569,0.4237,8.8103,191,464,0.4116,42,152,0.2763,149,312,0.4776,87,114,0.7632,28,211,239,88,57,8,88,110,511,0.2457,7241,19780,1956,82,1151,1,0.1584,0.3847,3e-4,0.0348,0.126,2e-4,0.1235,0.2587,4e-4,0.0721,0.0945,6e-4,0.0232,0.175,0.1982,0.073,0.0473,0.0066,0.073,0.0912,2e-4,515,5.148,nonTOT
CLE,19,63,6,77250,Deng Adel,21,SF,19,3,194,69.979,35.6842,0.0986,0.3889,0.1649,1.6842,11,36,0.3056,6,23,0.2609,5,13,0.3846,4,4,1,3,16,19,5,1,4,6,13,32,0.1111,7184,19755,1694,82,1106,0.8333,0.0567,0.1856,0.0016,0.0309,0.1186,0.0013,0.0258,0.067,0.002,0.0206,0.0206,0.0052,0.0155,0.0825,0.0979,0.0258,0.0052,0.0206,0.0309,0.067,6e-4,30,0.6104,nonTOT
CLE,19,63,60,77250,Jaron Blossomgame,25,SF,27,4,439,204.4858,177.5926,0.1222,0.4906,0.2597,4.2222,47,106,0.4434,10,39,0.2564,37,67,0.5522,10,13,0.7692,26,72,98,13,7,8,11,20,114,0.1226,7184,19755,1694,82,1106,1.1818,0.1071,0.2415,0.001,0.0228,0.0888,6e-4,0.0843,0.1526,0.0013,0.0228,0.0296,0.0018,0.0592,0.164,0.2232,0.0296,0.0159,0.0182,0.0251,0.0456,3e-4,167,2.2122,nonTOT
CLE,19,63,251,77250,John Holland,30,SF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7184,19755,1694,82,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOT
CLE,19,63,296,77250,Jalen Jones,25,SF,16,0,214,123.9507,88.5,0.1673,0.5,0.3785,5.0625,26,62,0.4194,10,28,0.3571,16,34,0.4706,19,27,0.7037,11,23,34,7,9,2,8,27,81,0.4355,7184,19755,1694,82,1106,0.875,0.1215,0.2897,0.002,0.0467,0.1308,0.0017,0.0748,0.1589,0.0022,0.0888,0.1262,0.0033,0.0514,0.1075,0.1589,0.0327,0.0421,0.0093,0.0374,0.1262,0.002,81,1.2857,nonTOT
CLE,19,63,419,2775000,Cedi Osman,23,SF,76,75,2444,608.7922,1088.5,0.1857,0.5036,0.4055,13.0395,360,844,0.4265,130,374,0.3476,230,470,0.4894,141,181,0.779,45,312,357,195,60,11,114,195,991,0.2145,7184,19755,1694,82,1106,1.7105,0.1473,0.3453,2e-4,0.0532,0.153,1e-4,0.0941,0.1923,2e-4,0.0577,0.0741,3e-4,0.0184,0.1277,0.1461,0.0798,0.0245,0.0045,0.0466,0.0798,1e-4,976,8.3151,nonTOT
