Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
DET,41,41,491,6000000,Ishmael Smith,30,PG,56,0,1251,298.1703,587.9107,0.199,0.4642,0.4005,8.9464,205,489,0.4192,44,135,0.3259,161,354,0.4548,47,62,0.7581,23,122,145,203,28,11,61,109,501,0.1268,7238,19855,1893,82,1135,3.3279,0.1639,0.3909,3e-4,0.0352,0.1079,3e-4,0.1287,0.283,4e-4,0.0376,0.0496,6e-4,0.0184,0.0975,0.1159,0.1623,0.0224,0.0088,0.0488,0.0871,1e-4,528,5.2451,nonTOT
SAC,39,43,179,3000000,Yogi Ferrell,25,PG,71,3,1067,388.1916,499.4366,0.1632,0.5114,0.3936,5.9155,153,352,0.4347,54,149,0.3624,99,203,0.4877,60,67,0.8955,13,96,109,137,36,4,40,64,420,0.1903,7637,19730,1865,82,1095,3.425,0.1434,0.3299,4e-4,0.0506,0.1396,3e-4,0.0928,0.1903,5e-4,0.0562,0.0628,8e-4,0.0122,0.09,0.1022,0.1284,0.0337,0.0037,0.0375,0.06,2e-4,460,4.7299,nonTOT
SAC,39,43,183,5470920,De'Aaron Fox,21,PG,81,81,2546,728.5399,1757.1975,0.2454,0.4973,0.5495,17.2716,505,1102,0.4583,86,232,0.3707,419,870,0.4816,303,417,0.7266,43,261,304,590,133,45,227,204,1399,0.3784,7637,19730,1865,82,1095,2.5991,0.1984,0.4328,2e-4,0.0338,0.0911,1e-4,0.1646,0.3417,2e-4,0.119,0.1638,3e-4,0.0169,0.1025,0.1194,0.2317,0.0522,0.0177,0.0892,0.0801,1e-4,1533,11.6664,nonTOT
SAC,39,43,352,1378242,Frank Mason,24,PG,38,0,435,232.733,225.0526,0.2185,0.4615,0.4483,5.1316,71,169,0.4201,14,64,0.2188,57,105,0.5429,39,57,0.6842,6,37,43,84,16,4,36,34,195,0.3373,7637,19730,1865,82,1095,2.3333,0.1632,0.3885,0.001,0.0322,0.1471,5e-4,0.131,0.2414,0.0012,0.0897,0.131,0.0016,0.0138,0.0851,0.0989,0.1931,0.0368,0.0092,0.0828,0.0782,8e-4,190,2.4369,nonTOT
DAL,33,49,300,3710850,Jose Juan,34,PG,38,0,752,136.053,495.1053,0.2809,0.4675,0.5519,10.9211,161,385,0.4182,38,128,0.2969,123,257,0.4786,55,78,0.7051,13,82,95,211,22,1,72,50,415,0.2026,7122,19780,2076,82,1167,2.9306,0.2141,0.512,6e-4,0.0505,0.1702,4e-4,0.1636,0.3418,6e-4,0.0731,0.1037,9e-4,0.0173,0.109,0.1263,0.2806,0.0293,0.0013,0.0957,0.0665,3e-4,425,4.4573,nonTOT
DAL,33,49,85,1230000,Jalen Brunson,22,PG,73,38,1591,537.0316,782.7945,0.1907,0.523,0.4261,9.2877,264,565,0.4673,63,181,0.3481,201,384,0.5234,87,120,0.725,25,144,169,230,37,4,88,127,678,0.2124,7122,19780,2076,82,1167,2.6136,0.1659,0.3551,3e-4,0.0396,0.1138,2e-4,0.1263,0.2414,3e-4,0.0547,0.0754,5e-4,0.0157,0.0905,0.1062,0.1446,0.0233,0.0025,0.0553,0.0798,1e-4,696,6.4526,nonTOT
DAL,33,49,230,2393887,Devin Harris,35,PG,68,2,1071,96.2701,465.1765,0.1854,0.4697,0.3996,6.2941,132,347,0.3804,62,200,0.31,70,147,0.4762,102,134,0.7612,12,100,112,122,35,16,56,133,428,0.3862,7122,19780,2076,82,1167,2.1786,0.1232,0.324,4e-4,0.0579,0.1867,3e-4,0.0654,0.1373,4e-4,0.0952,0.1251,7e-4,0.0112,0.0934,0.1046,0.1139,0.0327,0.0149,0.0523,0.1242,4e-4,410,4.3388,nonTOT
MIN,36,46,40,8575916,Jerryd Bayless,30,PG,34,6,657,171.6906,249.0588,0.1755,0.4196,0.3181,6.1471,82,230,0.3565,29,98,0.2959,53,132,0.4015,16,28,0.5714,11,51,62,119,18,2,32,56,209,0.1217,7483,19830,1995,82,1074,3.7188,0.1248,0.3501,5e-4,0.0441,0.1492,5e-4,0.0807,0.2009,6e-4,0.0244,0.0426,9e-4,0.0167,0.0776,0.0944,0.1811,0.0274,0.003,0.0487,0.0852,2e-4,218,2.7016,nonTOT
MIN,36,46,292,2444052,Tyus Jones,22,PG,68,23,1560,537.0316,742.3088,0.141,0.4596,0.3,6.8824,185,446,0.4148,40,126,0.3175,145,320,0.4531,58,69,0.8406,23,111,134,327,81,5,47,78,468,0.1547,7483,19830,1995,82,1074,6.9574,0.1186,0.2859,3e-4,0.0256,0.0808,2e-4,0.0929,0.2051,3e-4,0.0372,0.0442,5e-4,0.0147,0.0712,0.0859,0.2096,0.0519,0.0032,0.0301,0.05,1e-4,696,6.4526,nonTOT
MIN,36,46,465,2176260,Derrick Rose,30,PG,51,13,1392,378.4666,905.3922,0.2734,0.5179,0.6588,17.9804,363,753,0.4821,54,146,0.3699,309,607,0.5091,137,160,0.8562,33,107,140,220,31,12,82,57,917,0.2125,7483,19830,1995,82,1074,2.6829,0.2608,0.5409,3e-4,0.0388,0.1049,3e-4,0.222,0.4361,4e-4,0.0984,0.1149,6e-4,0.0237,0.0769,0.1006,0.158,0.0223,0.0086,0.0589,0.0409,2e-4,825,7.3303,nonTOT
