Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
POR,53,29,64.63414634146342,523,838464,Gary Trent,20,SG,15,1,111,47.27,20.7333,0.2171,0.37,0.3604,2.6667,0.0991,11,16,50,0.32,5,21,0.2381,11,29,0.3793,3,7,0.4286,1,10,5,1,2,4,4,40,0.14,7427,19855,1914,82,1135,1.25,0.1441,0.4505,0.0029,0.045,0.1892,0.0021,0.0991,0.2613,0.0034,0.027,0.0631,0.0039,0.009,0.0901,0.045,0.009,0.018,0.036,0.036,0.0013,17,0.3987,nonTOT
DEN,54,28,65.85365853658537,8,77250,DeVaughn Akoon-Purcell,25,SG,7,0,22,24.9796,10.7143,0.25,0.3,0.3182,1,0.1818,4,3,10,0.3,0,4,0,3,6,0.5,1,2,0.5,1,3,6,2,0,2,4,7,0.2,7384,19730,1714,82,1102,3,0.1364,0.4545,0.0136,0,0.1818,0,0.1364,0.2727,0.0227,0.0455,0.0909,0.0227,0.0455,0.1364,0.2727,0.0909,0,0.0909,0.1818,0.0091,9,0.2474,nonTOT
DEN,54,28,65.85365853658537,37,11830358,Will Barton,28,SG,43,38,1189,343.2113,563.4884,0.2003,0.475,0.4155,11.4884,0.1674,199,185,460,0.4022,67,196,0.3418,118,264,0.447,57,74,0.7703,32,167,124,18,22,65,82,494,0.1609,7384,19730,1714,82,1102,1.9077,0.1556,0.3869,3e-4,0.0563,0.1648,3e-4,0.0992,0.222,4e-4,0.0479,0.0622,6e-4,0.0269,0.1405,0.1043,0.0151,0.0185,0.0547,0.069,1e-4,500,5.0351,nonTOT
DEN,54,28,65.85365853658537,45,1773840,Malik Beasley,22,SG,81,18,1879,581.8798,880.321,0.1866,0.5841,0.488,11.321,0.1064,200,349,737,0.4735,163,405,0.4025,186,332,0.5602,56,66,0.8485,35,165,97,55,10,55,116,917,0.0896,7384,19730,1714,82,1102,1.7636,0.1857,0.3922,3e-4,0.0867,0.2155,2e-4,0.099,0.1767,3e-4,0.0298,0.0351,5e-4,0.0186,0.0878,0.0516,0.0293,0.0053,0.0293,0.0617,0,826,7.337,nonTOT
DEN,54,28,65.85365853658537,227,16517857,Gary Harris,24,SG,57,48,1639,482.1577,700.807,0.2002,0.4882,0.4497,12.9298,0.0976,160,270,637,0.4239,82,242,0.3388,188,395,0.4759,115,144,0.7986,41,119,127,55,19,68,113,737,0.2261,7384,19730,1714,82,1102,1.8676,0.1647,0.3887,3e-4,0.05,0.1477,2e-4,0.1147,0.241,3e-4,0.0702,0.0879,5e-4,0.025,0.0726,0.0775,0.0336,0.0116,0.0415,0.0689,1e-4,634,6.0166,nonTOT
DEN,54,28,65.85365853658537,515,2029463,Isaiah Thomas,29,SG,12,0,181,63.6344,62.5,0.3041,0.404,0.5359,8.0833,0.0718,13,34,99,0.3434,12,43,0.2791,22,56,0.3929,17,27,0.6296,5,8,23,5,1,18,17,97,0.2727,7384,19730,1714,82,1102,1.2778,0.1878,0.547,0.0019,0.0663,0.2376,0.0015,0.1215,0.3094,0.0022,0.0939,0.1492,0.0035,0.0276,0.0442,0.1271,0.0276,0.0055,0.0994,0.0939,0.0015,46,0.8411,nonTOT
DEN,54,28,65.85365853658537,570,284020,Nick Young,33,SG,4,0,37,7.2736,6.5,0.127,0.5,0.2432,2.25,0.027,1,3,9,0.3333,3,8,0.375,0,1,0,0,0,0,0,1,2,0,1,2,4,9,0,7384,19730,1714,82,1102,1,0.0811,0.2432,0.009,0.0811,0.2162,0.0101,0,0.027,0,0,0,0,0,0.027,0.0541,0,0.027,0.0541,0.1081,0,5,0.1592,nonTOT
BOS,49,33,59.756097560975604,80,5169960,Jaylen Brown,22,SG,74,25,1913,599.9622,983.6622,0.2208,0.5246,0.5039,13.027,0.1636,313,368,792,0.4646,95,276,0.3442,273,516,0.5291,133,202,0.6584,65,248,100,69,32,99,186,964,0.2551,7423,19780,1598,82,1052,1.0101,0.1924,0.414,2e-4,0.0497,0.1443,2e-4,0.1427,0.2697,3e-4,0.0695,0.1056,3e-4,0.034,0.1296,0.0523,0.0361,0.0167,0.0518,0.0972,1e-4,886,7.7331,nonTOT
BOS,49,33,59.756097560975604,155,77250,PJ Dozier,22,SG,6,0,51,66.3952,29,0.1849,0.4286,0.3725,3.1667,0.3333,17,8,21,0.381,2,8,0.25,6,13,0.4615,1,2,0.5,6,11,5,2,0,0,2,19,0.0952,7423,19780,1598,82,1052,Inf,0.1569,0.4118,0.0075,0.0392,0.1569,0.0049,0.1176,0.2549,0.009,0.0196,0.0392,0.0098,0.1176,0.2157,0.098,0.0392,0,0,0.0392,0.0019,29,0.5951,nonTOT
BOS,49,33,59.756097560975604,261,77250,RJ Hunter,25,SG,1,0,26,38.2335,16,0.2301,0.6154,0.6538,17,0.1154,3,6,13,0.4615,4,10,0.4,2,3,0.6667,1,2,0.5,1,2,3,1,0,0,3,17,0.1538,7423,19780,1598,82,1052,Inf,0.2308,0.5,0.0178,0.1538,0.3846,0.0154,0.0769,0.1154,0.0256,0.0385,0.0769,0.0192,0.0385,0.0769,0.1154,0.0385,0,0,0.1154,0.0059,16,0.381,nonTOT
BOS,49,33,59.756097560975604,489,11160716,Marcus Smart,24,SG,80,60,2200,585.7163,1079.4625,0.1463,0.5326,0.3218,8.85,0.1064,234,239,567,0.4215,126,346,0.3642,113,221,0.5113,104,129,0.8062,57,177,321,143,28,123,201,708,0.2275,7423,19780,1598,82,1052,2.6098,0.1086,0.2577,2e-4,0.0573,0.1573,2e-4,0.0514,0.1005,2e-4,0.0473,0.0586,4e-4,0.0259,0.0805,0.1459,0.065,0.0127,0.0559,0.0914,1e-4,958,8.1998,nonTOT
OKC,49,33,59.756097560975604,1,3667645,Alex Abrines,25,SG,31,2,588,181.4109,153.5484,0.1224,0.4873,0.2806,5.3226,0.0816,48,56,157,0.3567,41,127,0.3228,15,30,0.5,12,13,0.9231,5,43,20,17,6,14,53,165,0.0828,7706,19855,2049,82,1145,1.4286,0.0952,0.267,6e-4,0.0697,0.216,5e-4,0.0255,0.051,9e-4,0.0204,0.0221,0.0016,0.0085,0.0731,0.034,0.0289,0.0102,0.0238,0.0901,1e-4,140,1.9381,nonTOT
OKC,49,33,59.756097560975604,90,500000,Deonte Burton,25,SG,32,0,240,112.8978,79.7188,0.1633,0.4512,0.3417,2.5625,0.1167,28,33,82,0.4024,8,27,0.2963,25,55,0.4545,8,12,0.6667,4,24,9,6,8,9,31,82,0.1463,7706,19855,2049,82,1145,1,0.1375,0.3417,0.0017,0.0333,0.1125,0.0012,0.1042,0.2292,0.0019,0.0333,0.05,0.0028,0.0167,0.1,0.0375,0.025,0.0333,0.0375,0.1292,6e-4,71,1.1647,nonTOT
OKC,49,33,59.756097560975604,148,838464,Hamidou Diallo,20,SG,51,3,526,269.4166,221.549,0.1656,0.4667,0.3612,3.7255,0.1844,97,75,165,0.4545,4,24,0.1667,71,141,0.5035,36,59,0.6102,38,59,17,21,10,23,77,190,0.3576,7706,19855,2049,82,1145,0.7391,0.1426,0.3137,9e-4,0.0076,0.0456,3e-4,0.135,0.2681,0.001,0.0684,0.1122,0.0012,0.0722,0.1122,0.0323,0.0399,0.019,0.0437,0.1464,7e-4,199,2.523,nonTOT
